new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,63333,02 Store B,Dept 1,2014/05/02,Last Year
01 Luxuries,76181,02 Store B,Dept 1,2014/05/03,Last Year
01 Luxuries,121827,02 Store B,Dept 1,2014/05/04,Last Year
01 Luxuries,58580,02 Store B,Dept 1,2014/05/05,Last Year
01 Luxuries,153444,02 Store B,Dept 1,2014/05/06,Last Year
01 Luxuries,51767,02 Store B,Dept 1,2014/05/07,Last Year
01 Luxuries,96730,02 Store B,Dept 1,2014/05/08,Last Year
01 Luxuries,181095,02 Store B,Dept 1,2014/05/09,Last Year
01 Luxuries,100581,02 Store B,Dept 1,2014/05/10,Last Year
01 Luxuries,76085,02 Store B,Dept 1,2014/05/11,Last Year
01 Luxuries,138572,02 Store B,Dept 1,2014/05/12,Last Year
01 Luxuries,38091,02 Store B,Dept 1,2014/05/13,Last Year
01 Luxuries,74327,02 Store B,Dept 1,2014/05/14,Last Year
01 Luxuries,64289,02 Store B,Dept 1,2014/05/15,Last Year
01 Luxuries,65731,02 Store B,Dept 1,2014/05/16,Last Year
01 Luxuries,64915,02 Store B,Dept 1,2014/05/17,Last Year
01 Luxuries,29104,02 Store B,Dept 1,2014/05/18,Last Year
01 Luxuries,97953,02 Store B,Dept 1,2014/05/19,Last Year
01 Luxuries,67364,02 Store B,Dept 1,2014/05/20,Last Year
01 Luxuries,76870,02 Store B,Dept 1,2014/05/21,Last Year
01 Luxuries,53627,02 Store B,Dept 1,2014/05/22,Last Year
01 Luxuries,49633,02 Store B,Dept 1,2014/05/23,Last Year
01 Luxuries,45678,02 Store B,Dept 1,2014/05/24,Last Year
01 Luxuries,67455,02 Store B,Dept 1,2014/05/25,Last Year
01 Luxuries,81532,02 Store B,Dept 1,2014/05/26,Last Year
01 Luxuries,105918,02 Store B,Dept 1,2014/05/27,Last Year
01 Luxuries,90895,02 Store B,Dept 1,2014/05/28,Last Year
01 Luxuries,86899,02 Store B,Dept 1,2014/05/29,Last Year
01 Luxuries,132838,02 Store B,Dept 1,2014/05/30,Last Year
01 Luxuries,251470,02 Store B,Dept 1,2014/05/31,Last Year
01 Luxuries,79134,02 Store B,Dept 1,2015/03/01,This Year
01 Luxuries,68238,02 Store B,Dept 1,2015/03/02,This Year
01 Luxuries,133726,02 Store B,Dept 1,2015/03/03,This Year
01 Luxuries,79008,02 Store B,Dept 1,2015/03/04,This Year
01 Luxuries,141544,02 Store B,Dept 1,2015/03/05,This Year
01 Luxuries,122671,02 Store B,Dept 1,2015/03/06,This Year
01 Luxuries,42871,02 Store B,Dept 1,2015/03/07,This Year
01 Luxuries,163935,02 Store B,Dept 1,2015/03/08,This Year
01 Luxuries,107391,02 Store B,Dept 1,2015/03/09,This Year
01 Luxuries,67702,02 Store B,Dept 1,2015/03/10,This Year
01 Luxuries,72287,02 Store B,Dept 1,2015/03/11,This Year
01 Luxuries,128519,02 Store B,Dept 1,2015/03/12,This Year
01 Luxuries,214412,02 Store B,Dept 1,2015/03/13,This Year
01 Luxuries,151213,02 Store B,Dept 1,2015/03/14,This Year
01 Luxuries,113350,02 Store B,Dept 1,2015/03/15,This Year
01 Luxuries,23901,02 Store B,Dept 1,2015/03/16,This Year
01 Luxuries,91349,02 Store B,Dept 1,2015/03/17,This Year
01 Luxuries,69045,02 Store B,Dept 1,2015/03/18,This Year
01 Luxuries,104355,02 Store B,Dept 1,2015/03/19,This Year
